Economy,Year,Economy Code,"Inflation, consumer prices (annual %)"
Aruba,2016,ABW,-0.931195987079616
Afghanistan,2016,AFG,4.38389195513914
Angola,2016,AGO,30.6989578589225
Albania,2016,ALB,1.2754316836742
Andorra,2016,AND,
United Arab Emirates,2016,ARE,1.61748808904194
Argentina,2016,ARG,
Armenia,2016,ARM,-1.40360755900906
American Samoa,2016,ASM,
Antigua and Barbuda,2016,ATG,-0.489437796230513
Australia,2016,AUS,1.27699094497328
Austria,2016,AUT,0.891591752655335
Azerbaijan,2016,AZE,12.4433748584372
Burundi,2016,BDI,5.55768961400965
Belgium,2016,BEL,1.97385264653172
Benin,2016,BEN,-0.794050173906725
Burkina Faso,2016,BFA,0.441041448058759
Bangladesh,2016,BGD,5.51352572692992
Bulgaria,2016,BGR,-0.798649886453611
Bahrain,2016,BHR,2.78679347602047
"Bahamas, The",2016,BHS,-0.346376929989402
Bosnia and Herzegovina,2016,BIH,-1.58409999999997
Belarus,2016,BLR,11.8365807653497
Belize,2016,BLZ,0.663427167917558
Bermuda,2016,BMU,
Bolivia,2016,BOL,3.62321431764138
Brazil,2016,BRA,8.73914352329393
Barbados,2016,BRB,1.28192813061894
Brunei Darussalam,2016,BRN,-0.278693265753062
Bhutan,2016,BTN,3.21988689395718
Botswana,2016,BWA,2.81495791361944
Central African Republic,2016,CAF,4.94543276106514
Canada,2016,CAN,1.4287595470108
Switzerland,2016,CHE,-0.434618664285843
Channel Islands,2016,CHI,
Chile,2016,CHL,3.78619355893115
China,2016,CHN,2.00000182191941
Cote d'Ivoire,2016,CIV,0.723178457513252
Cameroon,2016,CMR,0.874190383288843
"Congo, Dem. Rep.",2016,COD,2.88585107290009
"Congo, Rep.",2016,COG,3.19056179723775
Colombia,2016,COL,7.51346024627683
Comoros,2016,COM,
Cabo Verde,2016,CPV,-1.40781637091703
Costa Rica,2016,CRI,-0.0174788505908107
Cuba,2016,CUB,
Curacao,2016,CUW,-0.0472079848934612
Cayman Islands,2016,CYM,-0.625258358618114
Cyprus,2016,CYP,-1.42916666666668
Czechia,2016,CZE,0.683504209385683
Germany,2016,DEU,0.491747008445241
Djibouti,2016,DJI,2.73841208738761
Dominica,2016,DMA,0.141816225732303
Denmark,2016,DNK,0.249999999999997
Dominican Republic,2016,DOM,1.61416607245221
Algeria,2016,DZA,6.39769480268749
Ecuador,2016,ECU,1.72826463324535
"Egypt, Arab Rep.",2016,EGY,13.8136062148289
Eritrea,2016,ERI,
Spain,2016,ESP,-0.202598000426425
Estonia,2016,EST,0.148684907627356
Ethiopia,2016,ETH,6.62813337230928
Finland,2016,FIN,0.356684500891696
Fiji,2016,FJI,3.86322538221274
France,2016,FRA,0.183334861123848
Faroe Islands,2016,FRO,
"Micronesia, Fed. Sts.",2016,FSM,-1.03746806405332
Gabon,2016,GAB,2.1067071278405
United Kingdom,2016,GBR,1.00841736811403
Georgia,2016,GEO,2.13492713939124
Ghana,2016,GHA,17.4546347070867
Gibraltar,2016,GIB,
Guinea,2016,GIN,8.17268112275131
"Gambia, The",2016,GMB,7.22879272057922
Guinea-Bissau,2016,GNB,1.5031205586109
Equatorial Guinea,2016,GNQ,1.41193915479014
Greece,2016,GRC,-0.825653978391008
Grenada,2016,GRD,1.65038994431577
Greenland,2016,GRL,
Guatemala,2016,GTM,4.44844199942824
Guam,2016,GUM,
Guyana,2016,GUY,0.836008061506297
"Hong Kong SAR, China",2016,HKG,2.40930743862222
Honduras,2016,HND,2.72461223295292
Croatia,2016,HRV,-1.12500000000001
Haiti,2016,HTI,11.5029073942667
Hungary,2016,HUN,0.394769306686402
Indonesia,2016,IDN,3.5258051568793
Isle of Man,2016,IMN,
India,2016,IND,4.94821634062142
Ireland,2016,IRL,0.00830633773569926
"Iran, Islamic Rep.",2016,IRN,7.24542548952983
Iraq,2016,IRQ,0.556521397155519
Iceland,2016,ISL,1.6969276199774
Israel,2016,ISR,-0.551552352993539
Italy,2016,ITA,-0.0940166569157271
Jamaica,2016,JAM,2.35102197485846
Jordan,2016,JOR,-0.778430463054117
Japan,2016,JPN,-0.127258844489691
Kazakhstan,2016,KAZ,14.5460237946149
Kenya,2016,KEN,6.29715752456274
Kyrgyz Republic,2016,KGZ,0.388838296895887
Cambodia,2016,KHM,3.01913975139129
Kiribati,2016,KIR,1.91731090233375
St. Kitts and Nevis,2016,KNA,-0.687037123294059
"Korea, Rep.",2016,KOR,0.97168573991219
Kuwait,2016,KWT,3.19839776658371
Lao PDR,2016,LAO,1.59691227583204
Lebanon,2016,LBN,-0.783359624361543
Liberia,2016,LBR,8.83424868336493
Libya,2016,LBY,
St. Lucia,2016,LCA,-3.07821765676926
Liechtenstein,2016,LIE,
Sri Lanka,2016,LKA,3.9588884659307
Lesotho,2016,LSO,6.59650490696543
Lithuania,2016,LTU,0.905525075460439
Luxembourg,2016,LUX,0.290833333333306
Latvia,2016,LVA,0.140633334505292
"Macao SAR, China",2016,MAC,2.36895749705903
St. Martin (French part),2016,MAF,
Morocco,2016,MAR,1.63531114327061
Monaco,2016,MCO,
Moldova,2016,MDA,6.3593089803793
Madagascar,2016,MDG,6.03575858154682
Maldives,2016,MDV,0.502509413611577
Mexico,2016,MEX,2.82170784747653
Marshall Islands,2016,MHL,
North Macedonia,2016,MKD,-0.239290787684491
Mali,2016,MLI,-1.79964707083376
Malta,2016,MLT,0.642702771527276
Myanmar,2016,MMR,6.92882525816124
Montenegro,2016,MNE,-0.27138502338526
Mongolia,2016,MNG,0.733272227314381
Northern Mariana Islands,2016,MNP,
Mozambique,2016,MOZ,17.4180418197597
Mauritania,2016,MRT,1.47171045649999
Mauritius,2016,MUS,0.977675134719017
Malawi,2016,MWI,21.7111132136499
Malaysia,2016,MYS,2.09056659525745
Namibia,2016,NAM,6.72858234593346
New Caledonia,2016,NCL,0.578317435521153
Niger,2016,NER,1.65388922387803
Nigeria,2016,NGA,15.6968126387972
Nicaragua,2016,NIC,3.52317317628476
Netherlands,2016,NLD,0.316666666666663
Norway,2016,NOR,3.55000000000002
Nepal,2016,NPL,8.79034332004629
Nauru,2016,NRU,
New Zealand,2016,NZL,0.646240284454502
Oman,2016,OMN,1.10920805807029
Pakistan,2016,PAK,3.76511916356584
Panama,2016,PAN,0.739734025300015
Peru,2016,PER,3.55717663556281
Philippines,2016,PHL,1.25369880080986
Palau,2016,PLW,-1.04230533415084
Papua New Guinea,2016,PNG,6.67372881355933
Poland,2016,POL,-0.664767331434023
Puerto Rico,2016,PRI,
"Korea, Dem. People's Rep.",2016,PRK,
Portugal,2016,PRT,0.607397074641661
Paraguay,2016,PRY,4.08682280577242
West Bank and Gaza,2016,PSE,-0.219106604907305
French Polynesia,2016,PYF,
Qatar,2016,QAT,2.67659170098193
Romania,2016,ROU,-1.54479666813904
Russian Federation,2016,RUS,7.04244762954798
Rwanda,2016,RWA,7.17434301982013
Saudi Arabia,2016,SAU,2.06884036053476
Sudan,2016,SDN,17.7502538311959
Senegal,2016,SEN,0.837284942557418
Singapore,2016,SGP,-0.53226873971629
Solomon Islands,2016,SLB,0.512485626268801
Sierra Leone,2016,SLE,10.8860609413903
El Salvador,2016,SLV,0.604049086996682
San Marino,2016,SMR,0.573948019801976
Somalia,2016,SOM,
Serbia,2016,SRB,1.12231397417765
South Sudan,2016,SSD,379.999585624026
Sao Tome and Principe,2016,STP,5.43051966119159
Suriname,2016,SUR,55.4123879763194
Slovak Republic,2016,SVK,-0.520010196278324
Slovenia,2016,SVN,-0.0549995416704911
Sweden,2016,SWE,0.984269244577978
Eswatini,2016,SWZ,7.84727459085681
Sint Maarten (Dutch part),2016,SXM,0.111682655737255
Seychelles,2016,SYC,-1.01548191697644
Syrian Arab Republic,2016,SYR,
Turks and Caicos Islands,2016,TCA,
Chad,2016,TCD,-0.792440525236028
Togo,2016,TGO,1.28544847051414
Thailand,2016,THA,0.188149704448173
Tajikistan,2016,TJK,6.00458082322154
Turkmenistan,2016,TKM,
Timor-Leste,2016,TLS,-1.46984287886469
Tonga,2016,TON,2.57815515245079
Trinidad and Tobago,2016,TTO,3.07066742464024
Tunisia,2016,TUN,3.62939937384383
Turkiye,2016,TUR,7.77513415328334
Tuvalu,2016,TUV,
Tanzania,2016,TZA,5.17476629301494
Uganda,2016,UGA,5.70637504616216
Ukraine,2016,UKR,13.9127101997796
Uruguay,2016,URY,9.63941347635073
United States,2016,USA,1.26158320570537
Uzbekistan,2016,UZB,8.13088669523599
St. Vincent and the Grenadines,2016,VCT,-0.149641647633301
"Venezuela, RB",2016,VEN,254.948534781815
British Virgin Islands,2016,VGB,
Virgin Islands (U.S.),2016,VIR,
Vietnam,2016,VNM,2.66824816969083
Vanuatu,2016,VUT,0.842069084035039
Samoa,2016,WSM,1.30471869303168
Kosovo,2016,XKX,0.273169431045511
"Yemen, Rep.",2016,YEM,
South Africa,2016,ZAF,6.57139642173959
Zambia,2016,ZMB,17.8697300795268
Zimbabwe,2016,ZWE,-1.54366960054161
